"Date","Viberate performance points","Viberate rank"
"2023-10-28","18473","55602"
"2023-10-29","18501","55560"
"2023-10-30","18514","55518"
"2023-10-31","18501","55602"
"2023-11-01","18492","55547"
"2023-11-02","18505","55525"
"2023-11-03","18494","55608"
"2023-11-04","18375","55790"
"2023-11-05","18364","55846"
"2023-11-06","18375","55902"
"2023-11-07","18349","55974"
"2023-11-08","18345","55871"
"2023-11-09","18306","55969"
"2023-11-10","18224","56109"
"2023-11-11","18230","56159"
"2023-11-12","18234","56280"
"2023-11-13","18249","56299"
"2023-11-14","18229","56354"
"2023-11-15","18247","56391"
"2023-11-16","18218","56549"
"2023-11-17","18217","56563"
"2023-11-18","18135","56754"
"2023-11-19","18127","56734"
"2023-11-20","18134","56640"
"2023-11-21","18114","56620"
"2023-11-22","18148","56694"
"2023-11-23","18119","56492"
"2023-11-24","18107","56572"
"2023-11-25","18072","56533"
"2023-11-26","18145","56476"
"2023-11-27","18156","56438"
"2023-11-28","18223","56471"
"2023-11-29","18114","56642"
"2023-11-30","18176","56493"
"2023-12-01","18176","56493"
"2023-12-02","18149","56476"
"2023-12-03","18239","56303"
"2023-12-04","18148","56602"
"2023-12-05","18145","56611"
"2023-12-06","18042","56788"
"2023-12-07","18045","56646"
"2023-12-08","17895","56759"
"2023-12-09","17900","56676"
"2023-12-10","17886","56643"
"2023-12-11","17910","56632"
"2023-12-12","17905","56619"
"2023-12-13","17924","56547"
"2023-12-14","18123","57895"
"2023-12-15","18181","58176"
"2023-12-16","18161","58065"
"2023-12-17","18265","57862"
"2023-12-18","18302","57742"
"2023-12-19","18327","57689"
"2023-12-20","18380","57610"
"2023-12-21","18452","57539"
"2023-12-22","18516","57476"
"2023-12-23","18303","57827"
"2023-12-24","18486","57534"
"2023-12-25","18589","57745"
"2023-12-26","18598","58076"
"2023-12-27","18668","57978"
"2023-12-28","18731","57858"
"2023-12-29","18788","57699"
"2023-12-30","18826","57609"
"2023-12-31","18958","57338"
"2024-01-01","19009","57175"
"2024-01-02","19054","56956"
"2024-01-03","19149","56762"
"2024-01-04","18918","57115"
"2024-01-05","18927","57102"
"2024-01-06","19074","56705"
"2024-01-07","19057","56553"
"2024-01-08","19297","56057"
"2024-01-09","19303","56165"
"2024-01-10","19405","56031"
"2024-01-11","19471","55941"
"2024-01-12","19511","56009"
"2024-01-13","19521","56035"
"2024-01-14","19669","55831"
"2024-01-15","19888","55556"
"2024-01-16","20113","55349"
"2024-01-17","20241","55166"
"2024-01-18","20312","55076"
"2024-01-19","20507","54803"
"2024-01-20","20507","54803"
"2024-01-21","20567","54802"
"2024-01-22","20696","54201"
"2024-01-23","20643","54304"
"2024-01-24","20731","54822"
"2024-01-25","20569","55037"
"2024-01-26","20524","55125"
"2024-01-27","20509","55201"
"2024-01-28","20545","55127"
"2024-01-29","20667","54910"
"2024-01-30","20852","54495"
"2024-01-31","21162","54258"
"2024-02-01","21162","54259"
"2024-02-02","21435","53808"
"2024-02-03","21675","53490"
"2024-02-04","21848","53281"
"2024-02-05","21646","53633"
"2024-02-06","21710","53556"
"2024-02-07","21738","53458"
"2024-02-08","21823","53059"
"2024-02-09","21853","52697"
"2024-02-10","21755","52474"
"2024-02-11","21790","52715"
"2024-02-12","21950","52633"
"2024-02-13","21978","52597"
"2024-02-14","21983","52593"
"2024-02-15","22101","52448"
"2024-02-16","22112","52518"
"2024-02-17","22241","52366"
"2024-02-18","22396","52071"
"2024-02-19","22396","52071"
"2024-02-20","22517","51966"
"2024-02-21","22481","52055"
"2024-02-22","22602","51904"
"2024-02-23","22691","51721"
"2024-02-24","22625","51781"
"2024-02-25","22623","51886"
"2024-02-26","22625","52032"
"2024-02-27","22597","N/A"
