"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"Sweden","0.29%","24927","1.02%","N/A","19793","0.24%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Saudi Arabia","0.25%","N/A","N/A","N/A","58266","0.72%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tunisia","0.25%","N/A","N/A","N/A","55521","0.69%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Georgia","0.25%","N/A","N/A","N/A","52313","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Serbia","0.22%","N/A","N/A","N/A","48904","0.60%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United Arab Emirates","0.18%","N/A","N/A","N/A","40655","0.50%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Croatia","0.14%","N/A","N/A","N/A","35119","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Slovakia","0.14%","N/A","N/A","N/A","34288","0.42%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ecuador","0.14%","N/A","N/A","N/A","30463","0.38%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Latvia","0.11%","N/A","N/A","N/A","26425","0.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Egypt","0.11%","N/A","N/A","N/A","23147","0.29%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
